date,activity,duration,calories,time_of_day,day_of_week,week_number,heart_rate_avg,intensity
2025-10-20,Running,41,492,Evening,Monday,43,148,High
2025-10-21,Running,45,490,Evening,Tuesday,43,149,High
2025-10-22,Cycling,80,640,Afternoon,Wednesday,43,158,Moderate
2025-10-23,HIIT,39,546,Evening,Thursday,43,138,High
2025-10-24,Pilates,51,204,Morning,Friday,43,130,Moderate
2025-10-27,Running,42,504,Evening,Monday,44,122,High
2025-10-31,Pilates,49,196,Morning,Friday,44,152,Moderate
2025-11-01,Swimming,49,441,Afternoon,Saturday,44,141,High
2025-11-10,Running,41,492,Evening,Monday,46,123,High
2025-11-13,HIIT,33,462,Evening,Thursday,46,147,High
2025-11-18,Yoga,37,111,Evening,Tuesday,47,121,Low
2025-11-21,Pilates,46,184,Morning,Friday,47,145,Moderate
2025-11-22,Swimming,41,369,Afternoon,Saturday,47,129,High
2025-11-24,Running,48,576,Morning,Monday,48,167,High
2025-11-25,Yoga,44,132,Evening,Tuesday,48,133,Low
2025-11-26,Cycling,67,536,Afternoon,Wednesday,48,140,Moderate
2025-11-27,HIIT,31,434,Evening,Thursday,48,166,High
2025-11-29,Swimming,49,441,Afternoon,Saturday,48,144,High
2025-12-01,Running,43,516,Morning,Monday,49,134,High
2025-12-05,Pilates,52,208,Morning,Friday,49,143,Moderate
2025-12-06,Swimming,50,450,Afternoon,Saturday,49,136,High
2025-12-08,Running,37,444,Morning,Monday,50,124,High
2025-12-09,Yoga,39,117,Morning,Tuesday,50,160,Low
2025-12-11,HIIT,37,518,Evening,Thursday,50,131,High
2025-12-12,Pilates,46,184,Morning,Friday,50,152,Moderate
2025-12-23,Yoga,44,132,Morning,Tuesday,52,145,Low
2025-12-26,Pilates,51,204,Morning,Friday,52,168,Moderate
2025-12-27,Swimming,43,387,Afternoon,Saturday,52,151,High
2025-12-29,Running,39,468,Morning,Monday,1,158,High
2025-12-31,Cycling,63,504,Afternoon,Wednesday,1,132,Moderate
2026-01-01,HIIT,36,504,Evening,Thursday,1,141,High
2026-01-03,Swimming,48,432,Afternoon,Saturday,1,125,High
2026-01-06,Yoga,40,120,Evening,Tuesday,2,147,Low
2026-01-08,Yoga,30,420,Evening,Thursday,2,146,High
2026-01-10,Yoga,48,432,Afternoon,Saturday,2,122,High
2026-01-12,Running,42,504,Morning,Monday,3,128,High
2026-01-14,Cycling,71,568,Afternoon,Wednesday,3,143,Moderate
2026-01-15,HIIT,40,560,Evening,Thursday,3,151,High
2026-01-17,Swimming,43,387,Afternoon,Saturday,3,168,High
2026-01-19,Running,44,528,Evening,Monday,4,131,High
